Position,Name,Type,Signal,Label
138,BOOT0,Boot,,
25,NRST,Reset,,
34,PA0,I/O,,
35,PA1,I/O,,
36,PA2,I/O,,
37,PA3,I/O,,
40,PA4,I/O,DAC1_OUT1,
41,PA5,I/O,,
42,PA6,I/O,ADC1_INP3,
43,PA7,I/O,,
100,PA8,I/O,,
101,PA9,I/O,,
102,PA10,I/O,,
103,PA11,I/O,,
104,PA12,I/O,,
105,PA13(JTMS/SWDIO),I/O,DEBUG_JTMS-SWDIO,
109,PA14(JTCK/SWCLK),I/O,DEBUG_JTCK-SWCLK,
110,PA15(JTDI),I/O,,
46,PB0,I/O,OPAMP1_VINP,
47,PB1,I/O,,
48,PB2,I/O,,
133,PB3(JTDO/TRACESWO),I/O,,
134,PB4(NJTRST),I/O,,
135,PB5,I/O,,
136,PB6,I/O,,
137,PB7,I/O,,
139,PB8,I/O,,
140,PB9,I/O,,
69,PB10,I/O,SPI2_SCK,DISPLAY_SCK
70,PB11,I/O,,
73,PB12,I/O,,
74,PB13,Input,GPIO_Input,ENC4_B
75,PB14,Input,GPIO_Input,ENC4_R
76,PB15,Input,GPIO_Input,ENC4_L
26,PC0,Output,GPIO_Output,DISPLAY_CS
27,PC1,I/O,SPI2_MOSI,DISPLAY_MOSI
28,PC2_C,I/O,,
29,PC3_C,I/O,,
44,PC4,I/O,OPAMP1_VOUT,
45,PC5,I/O,,
96,PC6,I/O,,
97,PC7,I/O,,
98,PC8,I/O,,
99,PC9,I/O,,
111,PC10,I/O,,
112,PC11,I/O,,
113,PC12,I/O,,
7,PC13,I/O,,
8,PC14-OSC32_IN,I/O,,
9,PC15-OSC32_OUT,I/O,,
114,PD0,I/O,,
115,PD1,I/O,,
116,PD2,I/O,,
117,PD3,I/O,,
118,PD4,I/O,,
119,PD5,I/O,,
122,PD6,I/O,,
123,PD7,I/O,I2S1_SDO,EDAC_DOUT
77,PD8,Input,GPIO_Input,ENC3_B
78,PD9,Input,GPIO_Input,ENC3_R
79,PD10,Input,GPIO_Input,ENC3_L
80,PD11,Input,GPIO_Input,ENC2_B
81,PD12,Input,GPIO_Input,ENC2_R
82,PD13,Input,GPIO_Input,ENC2_L
85,PD14,I/O,,
86,PD15,I/O,,
143,PDR_ON,Power,,
141,PE0,I/O,,
142,PE1,I/O,,
1,PE2,I/O,,
2,PE3,I/O,,
3,PE4,I/O,,
4,PE5,I/O,,
5,PE6,I/O,,
58,PE7,I/O,OPAMP2_VOUT,
59,PE8,I/O,,
60,PE9,I/O,OPAMP2_VINP,
63,PE10,I/O,,
64,PE11,I/O,,
65,PE12,I/O,,
66,PE13,I/O,,
67,PE14,I/O,,
68,PE15,I/O,,
10,PF0,I/O,,
11,PF1,I/O,,
12,PF2,I/O,,
13,PF3,I/O,,
14,PF4,I/O,,
15,PF5,I/O,,
18,PF6,I/O,,
19,PF7,I/O,,
20,PF8,I/O,,
21,PF9,Output,GPIO_Output,DISPLAY_DC
22,PF10,Output,GPIO_Output,DISPLAY_RST
49,PF11,I/O,ADC1_INP2,
50,PF12,I/O,,
53,PF13,I/O,,
54,PF14,I/O,,
55,PF15,I/O,,
56,PG0,I/O,,
57,PG1,I/O,,
87,PG2,Input,GPIO_Input,ENC1_B
88,PG3,Input,GPIO_Input,ENC1_R
89,PG4,Input,GPIO_Input,ENC1_L
90,PG5,Output,GPIO_Output,LED_1
91,PG6,Output,GPIO_Output,LED_2
92,PG7,I/O,,
93,PG8,I/O,,
124,PG9,I/O,,
125,PG10,I/O,I2S1_WS,EDAC_LRCLK
126,PG11,I/O,I2S1_CK,EDAC_BCLK
127,PG12,Output,GPIO_Output,EDAC_FMT
128,PG13,Output,GPIO_Output,EDAC_XSMT
129,PG14,Output,GPIO_Output,EDAC_FLT
132,PG15,I/O,,
23,PH0-OSC_IN,I/O,RCC_OSC_IN,
24,PH1-OSC_OUT,I/O,RCC_OSC_OUT,
6,VBAT,Power,,
71,VCAP,Power,,
106,VCAP,Power,,
17,VDD,Power,,
30,VDD,Power,,
39,VDD,Power,,
52,VDD,Power,,
62,VDD,Power,,
72,VDD,Power,,
84,VDD,Power,,
108,VDD,Power,,
121,VDD,Power,,
131,VDD,Power,,
144,VDD,Power,,
95,VDD33USB,Power,,
33,VDDA,Power,,
32,VREF+,MonoIO,,
16,VSS,Power,,
38,VSS,Power,,
51,VSS,Power,,
61,VSS,Power,,
83,VSS,Power,,
94,VSS,Power,,
107,VSS,Power,,
120,VSS,Power,,
130,VSS,Power,,
31,VSSA,Power,,
